Slave Name (or Project):,Execute 1,Experiment Index:,22,Experiment Name:,Read All (Barebone),Acquisition Frequency:,100,Slave type:,execute,Target Slave Name,,Notes:,
Timestamp,Timestamp (ms),Event Flags,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Strain,Analog[0],Analog[1],Analog[2],Analog[3],Analog[4],Analog[5],Analog[6],Analog[7],Motor Current,Encoder,Encoder Velocity,Battery Voltage,Int. Voltage,Temperature,Status1,Status2,Sine Commut PWM
Mon Dec 3 2018,6,0,-7744,168,-610,-65,-8,10,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,15,0,-7780,144,-612,-72,-7,9,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,25,0,-7778,132,-620,-77,-13,12,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,35,0,-7748,128,-594,-80,-11,22,65533,65490,0,0,0,0,0,0,0,36,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,48,0,-7774,140,-602,-67,-13,12,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,56,0,-7772,124,-572,-60,-11,14,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,64,0,-7744,136,-648,-49,-19,16,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,75,0,-7762,132,-660,-36,-19,4,65533,65490,0,0,0,0,0,0,0,27,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,84,0,-7744,166,-676,-37,-20,6,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,96,0,-7738,190,-616,-35,-17,19,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,104,0,-7738,198,-596,-51,-27,19,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,114,0,-7764,182,-636,-50,-24,13,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,124,0,-7760,192,-630,-49,-24,10,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,135,0,-7768,138,-652,-57,-30,11,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,146,0,-7748,142,-642,-61,-21,14,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,155,0,-7774,144,-648,-59,-28,12,65533,65490,0,0,0,0,0,0,0,36,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,164,0,-7738,134,-640,-45,-18,18,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,175,0,-7726,130,-624,-44,-32,15,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,184,0,-7758,140,-604,-32,-25,22,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,196,0,-7766,164,-662,-46,-25,19,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,204,0,-7756,162,-662,-44,-32,18,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,214,0,-7754,130,-636,-40,-33,12,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,224,0,-7768,182,-614,-49,-40,18,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,234,0,-7748,152,-600,-46,-38,21,65533,65490,0,0,0,0,0,0,0,-27,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,246,0,-7772,80,-638,-42,-54,19,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,254,0,-7762,150,-628,-33,-40,17,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,265,0,-7776,158,-568,-29,-35,28,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,274,0,-7742,148,-598,-32,-41,28,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,285,0,-7744,146,-612,-25,-36,24,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,297,0,-7746,198,-582,-32,-19,19,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,305,0,-7752,188,-620,-42,-20,20,65533,65490,0,0,0,0,0,0,0,-27,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,314,0,-7766,236,-600,-47,-33,18,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,324,0,-7752,158,-612,-65,-33,7,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,334,0,-7790,174,-584,-70,-19,13,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,346,0,-7756,130,-596,-72,-31,16,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,355,0,-7758,110,-604,-73,-27,11,65533,65490,0,0,0,0,0,0,0,27,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,365,0,-7758,134,-586,-59,-23,8,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,375,0,-7746,118,-592,-48,-25,5,65533,65490,0,0,0,0,0,0,0,27,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,386,0,-7732,142,-594,-36,-24,20,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,396,0,-7720,182,-616,-25,-26,10,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,405,0,-7748,210,-626,-35,-27,14,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,415,0,-7784,180,-702,-51,-28,14,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,425,0,-7806,184,-654,-53,-25,11,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,435,0,-7766,170,-628,-55,-31,3,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,446,0,-7784,174,-624,-67,-37,12,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,454,0,-7738,102,-584,-60,-42,3,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,464,0,-7744,132,-646,-48,-42,2,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,474,0,-7770,136,-612,-38,-48,3,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,484,0,-7762,108,-632,-40,-41,-1,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,496,0,-7740,148,-582,-36,-41,5,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,504,0,-7726,166,-570,-43,-33,8,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,514,0,-7752,122,-570,-41,-35,-4,65533,65490,0,0,0,0,0,0,0,-18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,524,0,-7772,158,-584,-52,-32,-4,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,534,0,-7788,138,-558,-52,-29,1,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,546,0,-7794,106,-596,-53,-28,-4,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,555,0,-7782,180,-594,-50,-31,0,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,564,0,-7744,162,-622,-58,-24,10,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,574,0,-7752,138,-644,-56,-25,8,65533,65490,0,0,0,0,0,0,0,-18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,585,0,-7770,140,-618,-50,-25,-3,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,596,0,-7736,128,-556,-47,-29,0,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,604,0,-7742,106,-614,-31,-27,2,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,616,0,-7732,96,-610,-27,-28,14,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,626,0,-7732,140,-550,-24,-31,11,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,637,0,-7752,160,-622,-22,-24,6,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,647,0,-7776,136,-590,-35,-33,12,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,656,0,-7764,162,-606,-34,-17,11,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,666,0,-7758,172,-580,-37,-24,12,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,677,0,-7714,170,-554,-38,-21,9,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,686,0,-7758,170,-570,-43,-23,8,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,697,0,-7772,146,-642,-46,-30,11,65533,65490,0,0,0,0,0,0,0,-18,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,707,0,-7766,124,-576,-36,-28,20,65533,65490,0,0,0,0,0,0,0,0,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,717,0,-7756,126,-594,-40,-28,15,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,730,0,-7802,122,-628,-33,-25,16,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,737,0,-7776,172,-612,-32,-25,21,65533,65490,0,0,0,0,0,0,0,9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,747,0,-7734,126,-580,-46,-28,17,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,108,0,128,0
Mon Dec 3 2018,758,0,-7768,144,-580,-48,-22,20,65533,65490,0,0,0,0,0,0,0,-9,-221,0,75,152,109,0,128,0
Mon Dec 3 2018,767,0,-7746,158,-602,-39,-29,16,65533,65490,0,0,0,0,0,0,0,18,-221,0,75,152,109,0,128,0
