Slave Name (or Project):,Execute 1,Experiment Index:,22,Experiment Name:,Read All (Barebone),Acquisition Frequency:,100,Slave type:,execute,Target Slave Name,,Notes:,
Timestamp,Timestamp (ms),Event Flags,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Strain,Analog[0],Analog[1],Analog[2],Analog[3],Analog[4],Analog[5],Analog[6],Analog[7],Motor Current,Encoder,Encoder Velocity,Battery Voltage,Int. Voltage,Temperature,Status1,Status2,Sine Commut PWM
Mon Dec 3 2018,9,0,-7712,-924,-2342,-166,19,-11,65533,1,3,0,0,0,0,0,0,-27,8,0,75,151,106,0,128,0
Mon Dec 3 2018,19,0,-7706,-904,-2282,-173,23,-8,65533,1,11,0,0,0,0,0,0,36,8,0,75,151,106,0,128,0
Mon Dec 3 2018,29,0,-7750,-868,-2306,-174,30,-20,65533,1,0,0,0,0,0,0,0,-9,8,0,75,151,106,0,128,0
Mon Dec 3 2018,39,0,-7738,-904,-2270,-177,27,-13,65533,1,11,0,0,0,0,0,0,-9,8,0,75,151,106,0,128,0
Mon Dec 3 2018,49,0,-7740,-942,-2274,-177,24,-7,65533,1,0,0,0,0,0,0,0,-27,8,0,74,151,106,0,128,0
Mon Dec 3 2018,59,0,-7748,-908,-2274,-172,30,-24,65533,1,0,0,0,0,0,0,0,27,8,0,74,151,106,0,128,0
Mon Dec 3 2018,69,0,-7704,-904,-2266,-168,28,-21,65533,1,5,0,0,0,0,0,0,-9,8,0,74,151,106,0,128,0
Mon Dec 3 2018,80,0,-7696,-902,-2300,-173,30,-8,65533,1,3,0,0,0,0,0,0,-18,8,0,74,151,106,0,128,0
Mon Dec 3 2018,90,0,-7726,-884,-2278,-174,38,-16,65533,1,0,0,0,0,0,0,0,-18,8,0,74,151,106,0,128,0
Mon Dec 3 2018,99,0,-7726,-894,-2270,-172,30,-15,65533,1,11,0,0,0,0,0,0,9,8,0,74,151,106,0,128,0
Mon Dec 3 2018,109,0,-7734,-908,-2304,-177,29,-8,65533,1,1,0,0,0,0,0,0,-18,8,0,74,151,106,0,128,0
Mon Dec 3 2018,119,0,-7730,-908,-2300,-179,34,-14,65533,1,5,0,0,0,0,0,0,0,8,0,74,151,106,0,128,0
Mon Dec 3 2018,129,0,-7760,-882,-2330,-172,13,-11,65533,1,5,0,0,0,0,0,0,-18,8,0,74,151,106,0,128,0
Mon Dec 3 2018,139,0,-7738,-874,-2288,-181,21,-11,65533,1,11,0,0,0,0,0,0,0,8,0,74,151,106,0,128,0
Mon Dec 3 2018,149,0,-7720,-896,-2326,-172,27,-19,65533,1,5,0,0,0,0,0,0,-27,8,0,74,151,106,0,128,0
Mon Dec 3 2018,159,0,-7748,-880,-2280,-182,25,-22,65533,1,3,0,0,0,0,0,0,0,8,0,74,151,106,0,128,0
Mon Dec 3 2018,169,0,-7726,-948,-2276,-176,27,-18,65533,1,1,0,0,0,0,0,0,-18,8,0,74,151,106,0,128,0
